price: 4     	2020.12.3  17:35:16
price: 1009  	2020.12.3  17:35:29
price: 42    	2020.12.3  17:37:43
price: 8     	2020.12.3  21:17:29
price: 8     	2020.12.3  21:19:59
price: 8     	2020.12.3  21:20:9
price: 8     	2020.12.3  21:23:12
price: 8     	2020.12.3  21:29:11
price: 1001  	2020.12.3  21:29:45
price: 12    	2020.12.3  21:48:44
price: 28    	2020.12.3  21:51:4
price: 20    	2020.12.3  21:52:19
price: 1000  	2020.12.3  21:57:46
price: 14    	2020.12.3  21:58:54
price: 8     	2020.12.3  21:59:58
price: 12    	2020.12.3  22:0:28
price: 7     	2020.12.3  22:1:5
price: 0     	2020.12.4  17:12:16
price: 16    	2020.12.4  17:16:39
price: 12    	2020.12.4  17:24:7
price: 16    	2020.12.4  17:24:43
